data_venda,cliente,produto,quantidade,valor
05/01/2024,Oficina do João,Amortecedor Dianteiro,4,1200.00
10/01/2024,Auto Center Silva,Pastilha de Freio,10,850.00
15/01/2024,Mecânica Express,Óleo de Motor 5W30,20,900.00
22/02/2024,Concessionária Sul,Kit Embreagem,2,1500.00
01/03/2024,Oficina do João,Filtro de Óleo,15,300.00
10/03/2024,Troca de Óleo Rápida,Filtro de Ar,30,450.00
05/04/2024,Auto Center Silva,Disco de Freio,8,1100.00
12/04/2024,Mecânica Express,Vela de Ignição,40,600.00
20/04/2024,Borracharia Irmãos,Pneu 175/70 R14,12,3600.00
02/05/2024,Concessionária Sul,Bateria 60Ah,5,1750.00
15/05/2024,Oficina do João,Correia Dentada,10,800.00
25/05/2024,Troca de Óleo Rápida,Óleo de Motor 5W30,50,2250.00
01/06/2024,Mecânica Express,Pastilha de Freio,20,1700.00
10/06/2024,Auto Center Silva,Amortecedor Traseiro,4,1000.00
15/06/2024,Concessionária Sul,Palheta Limpador,30,450.00