Date,comprador,item,qtd,preco
18/06/2024,Garagem Central,Fluido de Freio,10,350.00
20/06/2024,Retífica MotorTech,Pistão Motor 1.0,4,1800.00
25/06/2024,Auto Center Silva,Bomba d'Água,2,450.00
02/07/2024,Oficina do João,Radiador,1,600.00
05/07/2024,Mecânica Express,Filtro de Combustível,20,500.00
10/07/2024,Concessionária Sul,Amortecedor Dianteiro,10,3000.00
15/07/2024,Garagem Central,Pastilha de Freio,5,425.00
20/07/2024,Troca de Óleo Rápida,Óleo Sintético 5W40,30,1500.00
25/07/2024,Retífica MotorTech,Anel de Segmento,2,250.00
01/08/2024,Borracharia Irmãos,Câmara de Ar,50,750.00